cert_id,jobid,certification_text,is_mandatory
4,33,Microsoft (except Azure),0
5,33,Azure,0
6,35,ISO 27001,1
7,38,MTCNA,1
8,38,MTCRE,1
9,43,GIAC,0
10,43,CompTIA (A+/Network+/Linux+/Security+),0
11,49,Certified Scrum Product Owner (CSPO),0
12,59,PRINCE2,1
13,59,PMP,1
14,66,OCM,1
15,66,OCP DBA,1
16,75,CompTIA (A+/Network+/Linux+/Security+),0
17,78,Security related certificate,0
18,78,Software/Server related certificates,0
19,94,Certified Software Testing Professional,0
20,94,Certified Software Quality Analyst,0
21,95,Cloud technology certification,0
22,102,Cloud Credential Council,0
23,102,Internet of Things Foundation,0
24,112,EDI certification,0
25,118,CompTIA (A+/Network+/Linux+/Security+),0
26,118,MCDST,0
27,123,Cisco (CCNA/CCNP/CCIE),0
28,123,Cisco (CCNA/CCNP/CCIE),0
29,123,CCSA,0
30,123,ITIL,0
31,135,Cisco (CCNA/CCNP/CCIE),1
32,135,Cisco (CCNA/CCNP/CCIE),1
33,135,Cisco (CCNA/CCNP/CCIE),1
34,139,Cisco (CCNA/CCNP/CCIE),1
35,139,Cisco (CCNA/CCNP/CCIE),1
36,139,Cisco (CCNA/CCNP/CCIE),1
37,141,ACCA,0
38,141,CIA,0
39,141,CRMA,0
40,141,CPA,0
41,141,CFA,0
42,141,FRM,0
43,142,Cisco (CCNA/CCNP/CCIE),0
44,142,HCNP,0
45,144,UCS-B,1
46,144,C series,1
47,144,Storage,1
48,144,Network or Server O/S,1
49,159,Oracle Cloud Certification,0
50,159,PPSM Certifications,0
51,160,Microsoft (except Azure),0
52,160,Cisco (CCNA/CCNP/CCIE),0
53,160,CompTIA (A+/Network+/Linux+/Security+),0
54,162,ISTQB,0
55,162,ISTQB,0
56,172,open source industry certifications,0
57,189,Cisco (CCNA/CCNP/CCIE),1
58,208,Microsoft (except Azure),0
59,216,Six Sigma,0
60,217,TOGAF 9,0
61,217,COBIT 5 Foundation,0
62,217,SAFe,0
63,217,Scrum,0
64,217,ITIL,0
65,218,GSEC,1
66,218,Cisco (CCNA/CCNP/CCIE),1
67,218,ITIL,1
68,218,CompTIA (A+/Network+/Linux+/Security+),1
69,222,ISC2 (CISSP/CCSP/SSCP),0
70,222,ISACA (CISA/CISM/CRISC),0
71,222,ISACA (CISA/CISM/CRISC),0
72,222,CompTIA (A+/Network+/Linux+/Security+),0
73,222,OffSec (OSCP),0
74,226,ITIL,1
75,245,ISC2 (CISSP/CCSP/SSCP),0
76,245,ISACA (CISA/CISM/CRISC),0
77,245,ISACA (CISA/CISM/CRISC),0
78,245,CREST,0
79,245,Certified Ethical Hacker (CEH),0
80,245,CHFI,0
81,249,Cloud Solution Architect Associate,0
82,249,Cloud Solution Architect Developer,0
83,260,ITIL,0
84,267,SAP,1
85,274,Azure,1
86,274,AWS,0
87,274,Google Cloud Certified Architect,0
88,274,Microsoft (except Azure),0
89,275,ITIL,0
90,275,PMP,0
91,275,Agile/Scrum Master,0
92,277,ISC2 (CISSP/CCSP/SSCP),0
93,277,ISACA (CISA/CISM/CRISC),0
94,277,CompTIA (A+/Network+/Linux+/Security+),0
95,278,ISC2 (CISSP/CCSP/SSCP),0
96,278,ISACA (CISA/CISM/CRISC),0
97,278,ISACA (CISA/CISM/CRISC),0
98,281,Cisco (CCNA/CCNP/CCIE),0
99,281,ITIL,0
100,281,CITPM,0
101,281,PMP,0
102,283,Azure,0
103,283,Teams Administrator,0
104,288,PMP,0
105,293,SAP,0
106,306,Okta,0
107,306,Okta,0
108,306,Okta,0
109,308,AWS,0
110,308,AWS,0
111,312,ISTQB,0
112,312,ITIL,0
113,318,Workday,0
114,323,Electrical license,1
115,325,Civil Service Professional Eligibility/PD 907/RA 1080 or its equivalent,1
116,327,PMP,0
117,337,Red Hat (RHCSA/RHCE/RHCA),0
118,337,CKA,0
119,338,White card,1
120,346,ITIL,0
121,346,AWS,0
122,348,CompTIA (A+/Network+/Linux+/Security+),0
123,348,CompTIA (A+/Network+/Linux+/Security+),0
124,348,Certified Ethical Hacker (CEH),0
125,348,ISACA (CISA/CISM/CRISC),0
126,348,ISACA (CISA/CISM/CRISC),0
127,348,ISC2 (CISSP/CCSP/SSCP),0
128,362,Project Management Certification,0
129,362,Six Sigma,0
130,372,AIPM Accreditation,0
131,373,ISC2 (CISSP/CCSP/SSCP),0
132,373,ISACA (CISA/CISM/CRISC),0
133,373,Certified Ethical Hacker (CEH),0
134,379,Certifications in Database technologies,0
135,389,ISC2 (CISSP/CCSP/SSCP),0
136,389,ISACA (CISA/CISM/CRISC),0
137,389,ISACA (CISA/CISM/CRISC),0
138,389,ISC2 (CISSP/CCSP/SSCP),0
139,389,ISACA (CISA/CISM/CRISC),0
140,398,Cisco (CCNA/CCNP/CCIE),0
141,398,Microsoft (except Azure),0
142,401,Project Management Certification,0
143,401,Scrum Certification,0
144,402,Cisco (CCNA/CCNP/CCIE),0
145,402,Cisco (CCNA/CCNP/CCIE),0
146,402,Cisco (CCNA/CCNP/CCIE),0
147,410,Cisco (CCNA/CCNP/CCIE),0
148,410,Cisco (CCNA/CCNP/CCIE),0
149,415,Microsoft (except Azure),0
150,425,PMP,1
151,425,PRINCE2,1
152,426,Certified Functional Expert for Process Discovery and Mining Tools,1
153,432,AWS,1
154,432,ITIL,1
