jobid,level,tech_specialisation,country,state,salary_from,salary_to,currency,type,mode,visa_sponsorship,work_experience_years,education_level
19205,Junior,IT Support,Thailand,,,,,Full time,Office,,1,
10234,Junior,IT Support,Philippines,,21000,24000,PHP,Full time,,,,
29722,Junior,,Philippines,,21000,24000,PHP,Full time,,,,
32057,,Information Technology,Indonesia,,,,,Full time,,,2,
4908,Middle,Kronos/UKG,Philippines,,,,,Full time,Remote,,5,
19844,Junior,IT Support,Singapore,,2500,3000,SGD,Contract/Temp,Office,,,
27592,,Systems Integrator,Australia,VIC,,,,Full time,,,,
17749,,ERP,Australia,QLD,140000,170000,AUD,Full time,Hybrid,,,
30033,,Finance Transformation,Singapore,,,,,Contract/Temp,,,5,
14499,Middle,Power BI,Australia,WA,,,,Full time,,,,
18757,Senior,Cyber Security,Malaysia,,,,,Full time,,,3,Diploma
14950,Senior,,Thailand,,,,,Full time,,,,Diploma
13253,Senior,Network Engineering,New Zealand,,,,NZD,Full time,,No,,Diploma
7642,Senior,,Malaysia,,,,,Full time,,,3,Diploma
24320,Senior,Telecommunications,Australia,QLD,95747,101669,AUD,Full time,,,,Diploma
27793,Senior,Telecommunications,Australia,QLD,,,,Full time,,,,Diploma
28792,Senior,C#,Singapore,,,,,Full time,,,3,Diploma
15196,Middle,,Australia,QLD,85000,100000,AUD,Full time,,,,Diploma
29235,,Linux,Australia,SA,,,,Full time,,,,Diploma
21527,,Financial Analysis,Australia,TAS,85906,93915,AUD,Full time,,,,Diploma
3844,Middle,Network Engineering,Singapore,,,,,Full time,,,2,Diploma
28360,Lead,Windows,Singapore,,,,,Full time,,,2,Diploma
7079,Middle,Networks & Systems Administration,Indonesia,,,,,Full time,,,,Diploma
624,Junior,Application Support,Malaysia,,3500,5000,MYR,Full time,,,2,Diploma
29257,Junior,PHP,Malaysia,,,,,Contract/Temp,,,,Diploma
4712,Senior,Account Management,Philippines,,,,,Full time,,,7,Diploma
13424,Senior,Project Management,Australia,ACT,,,,Contract/Temp,,,,Diploma
25387,Middle,IT Support,Singapore,,,,,Full time,,,2,Diploma
22659,Junior,IT Support,Philippines,,,,,Full time,,,0,
20170,,IT Support,Australia,VIC,,,,Full time,Office,,3,
11833,Middle,.NET,Indonesia,,6750000,10000000,IDR,Full time,,,1,
266,Senior,IT Support,Malaysia,,,,,Full time,Office,,8,Associate Degree
1326,Middle,Microsoft,Philippines,,,,,Full time,,,1,Associate Degree
1331,,Network Operations,Philippines,,,,,Full time,,,1,Associate Degree
2589,Junior,IT Support,Philippines,,30000,35000,PHP,Full time,Remote,,1,Associate Degree
2846,Middle,,Indonesia,,,,,Contract/Temp,,,,Associate Degree
5440,Middle,Network Operations,Philippines,,,,,Full time,,,1,Associate Degree
7768,Middle,Microsoft,Philippines,,,,,Full time,,,1,Associate Degree
8509,Junior,Java,Hong Kong,,,,,Full time,Office,,,Associate Degree
11546,Middle,System Administration,Malaysia,,,,,Full time,,,2,Associate Degree
11597,Senior,Frontend Development,Hong Kong,,35000,40000,HKD,Full time,,,5,Associate Degree
