jobid,level,tech_specialisation,country,state,salary_from,salary_to,currency,type,mode,visa_sponsorship,work_experience_years,education_level,cert_id,certification_text,is_mandatory
19844,Junior,IT Support,Singapore,,2500,3000,SGD,Contract/Temp,Office,,,,,,
30033,,Finance Transformation,Singapore,,,,,Contract/Temp,,,5,,,,
28792,Senior,C#,Singapore,,,,,Full time,,,3,Diploma,,,
3844,Middle,Network Engineering,Singapore,,,,,Full time,,,2,Diploma,1778,Cisco (CCNA/CCNP/CCIE),0
3844,Middle,Network Engineering,Singapore,,,,,Full time,,,2,Diploma,1779,Cisco (CCNA/CCNP/CCIE),0
28360,Lead,Windows,Singapore,,,,,Full time,,,2,Diploma,12345,MSCE,1
28360,Lead,Windows,Singapore,,,,,Full time,,,2,Diploma,12346,Microsoft (except Azure),1
25387,Middle,IT Support,Singapore,,,,,Full time,,,2,Diploma,,,
9934,Middle,SAP Basis,Singapore,,,,,Full time,,,6,Associate Degree,,,
25995,Junior,Customer Support,Singapore,,,,,Full time,Office,,1,Associate Degree,,,
26501,Middle,Threat Intelligence,Singapore,,3200,4500,SGD,Full time,,,,Associate Degree,,,
22380,,Sales,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
10350,Senior,IT System Management,Singapore,,,,,Contract/Temp,,,8,Bachelor Degree,4699,Government Instruction Manual 8,0
12272,Junior,,Singapore,,,,,Full time,,,,Bachelor Degree,,,
12974,,,Singapore,,5000,6500,SGD,Contract/Temp,,,,Bachelor Degree,,,
28793,,Cards Technology,Singapore,,,,,Full time,,,12,Bachelor Degree,,,
85,Junior,Mobile App,Singapore,,,,,Full time,,,1,Bachelor Degree,,,
249,Senior,AWS,Singapore,,5500,8000,SGD,Full time,,,5,Bachelor Degree,81,Cloud Solution Architect Associate,0
249,Senior,AWS,Singapore,,5500,8000,SGD,Full time,,,5,Bachelor Degree,82,Cloud Solution Architect Developer,0
12930,Senior,Cloud,Singapore,,,,,Full time,,,5,Bachelor Degree,5800,Cloud Solution Architect Associate,0
12930,Senior,Cloud,Singapore,,,,,Full time,,,5,Bachelor Degree,5801,Cloud Solution Developer,0
27980,,Procurement,Singapore,,,,,Full time,,,5,Bachelor Degree,12179,Certification in Software License Management,0
27844,Senior,Product Management & Development,Singapore,,,,,Full time,,,8,Bachelor Degree,,,
24938,Middle,Java,Singapore,,5000,6500,SGD,Full time,,,,Bachelor Degree,,,
8893,,Security System/CCTV,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
24298,Senior,Enterprise Architecture,Singapore,,,,,Full time,,,6,Bachelor Degree,10571,Certified EA – TOGAF 9.1/EACOE,0
12195,Junior,Data Analytics,Singapore,,,,,Full time,,,,Bachelor Degree,,,
3757,Senior,Product Management,Singapore,,,,,Full time,Hybrid,,10,Bachelor Degree,1732,Certified Scrum Product Owner (CSPO),0
29988,,Procurement,Singapore,,,,,Full time,,,5,Bachelor Degree,13070,Certification in Project Management,0
48,Middle,Computer Hardware,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
86,Middle,UNIX/Linux,Singapore,,,,,Full time,,,,Bachelor Degree,,,
88,Middle,Cybersecurity,Singapore,,,,,Full time,,,4,Bachelor Degree,,,
91,Junior,,Singapore,,,,,Full time,,,1,Bachelor Degree,,,
96,Middle,PHP,Singapore,,,,,Full time,,,,Bachelor Degree,,,
97,Junior,Java,Singapore,,,,,Full time,,,1,Bachelor Degree,,,
104,Senior,Java,Singapore,,,,,Contract/Temp,,,5,Bachelor Degree,,,
106,Middle,Project Management,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree,,,
185,Middle,POS / ERP,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
207,Lead,SQL,Singapore,,3667,5500,SGD,Full time,Remote,,2,Bachelor Degree,,,
233,Junior,Laravel,Singapore,,3000,4500,SGD,Full time,Office,,,Bachelor Degree,,,
245,Lead,Cyber Security,Singapore,,9000,11000,SGD,Full time,,,8,Bachelor Degree,75,ISC2 (CISSP/CCSP/SSCP),0
245,Lead,Cyber Security,Singapore,,9000,11000,SGD,Full time,,,8,Bachelor Degree,76,ISACA (CISA/CISM/CRISC),0
245,Lead,Cyber Security,Singapore,,9000,11000,SGD,Full time,,,8,Bachelor Degree,77,ISACA (CISA/CISM/CRISC),0
245,Lead,Cyber Security,Singapore,,9000,11000,SGD,Full time,,,8,Bachelor Degree,78,CREST,0
245,Lead,Cyber Security,Singapore,,9000,11000,SGD,Full time,,,8,Bachelor Degree,79,Certified Ethical Hacker (CEH),0
245,Lead,Cyber Security,Singapore,,9000,11000,SGD,Full time,,,8,Bachelor Degree,80,CHFI,0
250,Senior,Java,Singapore,,5000,6000,SGD,Full time,,,5,Bachelor Degree,,,
271,Middle,Firmware,Singapore,,6000,8000,SGD,Full time,,,,Bachelor Degree,,,
276,Lead,Microsoft 365,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
278,Senior,IT Security Governance,Singapore,,7500,10000,SGD,Full time,,,3,Bachelor Degree,95,ISC2 (CISSP/CCSP/SSCP),0
278,Senior,IT Security Governance,Singapore,,7500,10000,SGD,Full time,,,3,Bachelor Degree,96,ISACA (CISA/CISM/CRISC),0
278,Senior,IT Security Governance,Singapore,,7500,10000,SGD,Full time,,,3,Bachelor Degree,97,ISACA (CISA/CISM/CRISC),0
281,Senior,Cisco ACI,Singapore,,5000,7000,SGD,Full time,,,6,Bachelor Degree,98,Cisco (CCNA/CCNP/CCIE),0
281,Senior,Cisco ACI,Singapore,,5000,7000,SGD,Full time,,,6,Bachelor Degree,99,ITIL,0
281,Senior,Cisco ACI,Singapore,,5000,7000,SGD,Full time,,,6,Bachelor Degree,100,CITPM,0
281,Senior,Cisco ACI,Singapore,,5000,7000,SGD,Full time,,,6,Bachelor Degree,101,PMP,0
283,,Azure,Singapore,,5000,7000,SGD,Full time,,,5,Bachelor Degree,102,Azure,0
283,,Azure,Singapore,,5000,7000,SGD,Full time,,,5,Bachelor Degree,103,Teams Administrator,0
288,Senior,Project Management,Singapore,,12000,18000,SGD,Full time,,,10,Bachelor Degree,104,PMP,0
289,Junior,ICT Consulting,Singapore,,7000,10000,SGD,Full time,,,3,Bachelor Degree,,,
317,Middle,Python,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
319,Junior,IT Engineer,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
321,,Data Engineering & Analytics,Singapore,,,,,Full time,,,7,Bachelor Degree,,,
336,Middle,Python,Singapore,,4000,6000,SGD,Full time,,,2,Bachelor Degree,,,
351,Middle,Machine Vision,Singapore,,3800,5000,SGD,Full time,Office,,,Bachelor Degree,,,
